loss,val_loss
17143000.0,17174320.0
17139816.0,17171014.0
17136534.0,17167364.0
17132582.0,17163026.0
17127972.0,17157546.0
17122068.0,17150874.0
17114848.0,17142572.0
17105886.0,17132356.0
17094816.0,17119920.0
17081258.0,17105016.0
17065368.0,17086668.0
17045864.0,17064890.0
17022378.0,17039320.0
16995334.0,17008906.0
16963042.0,16973692.0
16925798.0,16933066.0
16882998.0,16886248.0
16834020.0,16833098.0
16778264.0,16773595.0
16716524.0,16706514.0
16646321.0,16632406.0
16569447.0,16549629.0
16483066.0,16458757.0
16389921.0,16358333.0
16286343.0,16249626.0
16173680.0,16132154.0
16052588.0,16005182.0
15921288.0,15868266.0
15780739.0,15720755.0
15629402.0,15563818.0
15467717.0,15396826.0
15296733.0,15218691.0
15114132.0,15030624.0
14922126.0,14831923.0
14718774.0,14623250.0
14505726.0,14404856.0
14282343.0,14175782.0
14049349.0,13936704.0
13805716.0,13687549.0
13551913.0,13430387.0
13289364.0,13163033.0
13019093.0,12885918.0
12737270.0,12602254.0
12448912.0,12311097.0
12154190.0,12011239.0
11848873.0,11705880.0
11539045.0,11393616.0
11222323.0,11076437.0
10899528.0,10753783.0
10574613.0,10425230.0
10242409.0,10093458.0
9907503.0,9759924.0
9569465.0,9424630.0
9230537.0,9087230.0
8891228.0,8748125.0
8550175.0,8409805.0
8207720.5,8073459.0
7870003.5,7737137.0
7532423.0,7402700.0
7197402.5,7073533.0
6865930.5,6748617.5
6541097.0,6427716.0
6217949.0,6113747.5
5907041.0,5803795.0
5594278.5,5504643.5
5294873.5,5212309.0
5004774.5,4926594.5
4722579.5,4649624.0
4446883.0,4384418.5
4183195.75,4128825.5
3929716.75,3884429.25
3690524.0,3648005.25
3456554.25,3424668.0
3236553.75,3212444.0
3029512.0,3010074.75
2829432.25,2822270.5
2645909.25,2643855.5
2471239.25,2477549.75
2310450.25,2320748.0
2157002.75,2176507.75
2017191.375,2042153.75
1889255.375,1916415.0
1768759.375,1801592.75
1658080.375,1697240.75
1557884.5,1601594.875
1465273.0,1515664.0
1383229.375,1436538.375
1308838.375,1363664.375
1239328.875,1299232.25
1179814.25,1240015.125
1124335.5,1187010.25
1075325.25,1139497.75
1031299.0,1097098.375
990665.25,1060501.625
958340.6875,1025673.0
926329.75,995481.1875
898051.0,969271.1875
873763.625,945766.1875
852580.9375,924207.1875
833358.9375,905031.6875
